,gene_numb,rxn_numb,aerobic_growth,aerobic_rxns,anaerobic_growth,anaerobic_rxns,type
ADE_2.re,1101,3986,0.0879398747951289,499,0.0227737517676686,480,Wine
ADF_4.re,1094,3980,0.0745947577077027,506,0.0216423732272991,494,Wild
ADG_4.re,1095,3986,0.0879398429364092,468,0.0227737517676687,472,Wild
ADH_4.re,1097,3988,0.0879397870694552,506,0.0227737517676688,452,Wild
ADI_4.re,1098,3980,0.0879398747951289,484,0.0227737517676687,497,Human
ADK_8.re,1089,3984,0.0879398747951281,475,0.0227737517676686,482,Bakery
ADL_4.re,1080,3978,0.0,69,0.0,121,Bakery
ADM_2.re,1080,3973,0.0879397870694553,501,0.0227737517676686,457,Bakery
ADN_4.re,1091,3983,0.0879397870694559,491,0.0227737517676687,486,Sake
ADP_3.re,1094,3987,0.0879398747951283,478,0.0227737517676687,465,Unknown
ADQ_4.re,1091,3983,0.0879397870694559,491,0.0227737517676687,486,Sake
ADR_4.re,1103,3989,0.087939874795128,497,0.0227737517676686,475,Wine
ADS_4.re,1100,3987,0.0879398747951286,456,0.0227737517676687,480,Wine
ADT_4.re,1103,3990,0.0879398747951289,500,0.0227737517676687,449,Wild
ADV_4.re,1095,3985,0.0879398429364093,509,0.0227737517676687,473,Wine
AEA_8.re,1098,3992,0.0879398747951289,486,0.0227737517676687,470,Industrial
AEB_8.re,1082,3953,0.0,30,0.0,0,Beer
AEE_3.re,1084,3971,0.0859565817157087,508,0.0227737517676687,480,Distillery
AEF_8.re,1090,3982,0.0771015801617888,503,0.0,0,Sake
AEG_8.re,1093,3994,0.0879397870694556,506,0.0227737517676687,486,Industrial
AEH_3.re,1101,3987,0.0879398747951284,488,0.0227737517676687,485,Industrial
AEI_3.re,1089,3982,0.077101663508923,497,0.0,0,Bakery
AEK_3.re,1092,3987,0.0879398747951289,515,0.0227737517676686,485,Wine
AEL_3.re,1090,3966,0.0846701568043949,508,0.0223525879798285,474,Distillery
AEM_3.re,1091,3984,0.0879398747951286,482,0.0227737517676686,459,Beer
AEN_3.re,1090,3981,0.0,22,0.0,0,Beer
AEP_3.re,1095,3999,0.0879398747951283,488,0.0227737517676686,483,Distillery
AEQ_3.re,1094,3989,0.0,22,0.0,112,Beer
AER_4.re,1094,3983,0.0879398747951289,494,0.0227737517676687,498,Industrial
AES_4.re,1090,3984,0.0879398747951289,464,0.0227737517676687,460,Wine
AET_5.re,1094,3987,0.0879398747951289,515,0.0227737517676686,485,Wine
AEV_5.re,1081,3962,0.0,30,0.0,140,Wild
AFA_4.re,1092,3986,0.0879398747951283,500,0.0227737517676686,490,Beer
AFB_4.re,1092,3983,0.0879397870694556,503,0.0227737517676686,479,Beer
AFC_4.re,1087,3984,0.0879397870694547,511,0.0227737517676686,468,Wild
AFD_4.re,1100,3986,0.0879397870694559,477,0.0227737517676687,458,Industrial
AFF_4.re,1094,3984,0.0879398747951286,455,0.0227737517676686,461,Bakery
AFG_4.re,1092,3982,0.0771015801617888,523,0.0,0,Bakery
AFH_4.re,1095,3997,0.0879397870694555,519,0.0227737517676688,474,Distillery
AFI_5.re,1092,3990,0.0879397870694555,472,0.0227737517676687,466,Wine
AFK_5.re,1095,3983,0.0879398747951289,469,0.0227737517676687,484,Wine
AFL_5.re,1092,3982,0.0879397870694558,513,0.0227011713756413,448,Beer
AFM_5.re,1088,3983,0.0771016337484442,484,0.0,0,Sake
AFN_4.re,1092,3983,0.0879397870694544,507,0.0227737517676686,462,Sake
AFP_1.re,1089,3980,0.0879398747951289,505,0.0227737517676687,472,Beer
AFQ_1.re,1095,3987,0.0879398747951289,464,0.0227737517676687,453,Wild
AFR_5.re,1096,3985,0.0879398747951289,461,0.0227737517676685,468,Industrial
AFS_5.re,1084,3976,0.0879398747951284,491,0.0227737517676686,455,Wild
AFT_5.re,1094,3983,0.0879398747951289,466,0.0227737517676686,474,Human
AFV_1.re,1098,3986,0.0879398747951289,476,0.0227737517676687,477,Wine
AGA_5.re,1098,3987,0.0879398747951289,515,0.0227737517676687,485,Wine
AGB_1.re,1081,3976,0.0879398747951289,519,0.0227737517676686,451,Beer
AGC_1.re,1095,3988,0.0879397870694552,506,0.0227737517676688,452,Distillery
AGE_1.re,1089,3989,0.0,33,0.0,0,Bakery
AGF_1.re,1097,3983,0.0879398747951282,484,0.0227737517676686,473,Wine
AGG_1.re,1094,3994,0.0,51,0.0,0,Distillery
AGH_1.re,1101,3986,0.087939874795127,460,0.0227737517676686,480,Wine
AGI_1.re,1097,3984,0.0879397870694557,482,0.0227737517676686,469,Wine
AGK_1.re,1091,3983,0.0879397870694552,476,0.0227737517676687,466,Wild
AGL_2.re,1096,3984,0.0771016337484449,506,0.0,0,Wine
AGM_1.re,1094,3994,0.0879398747951286,494,0.0227737517676686,491,Industrial
AGN_2.re,1103,3989,0.0879397870694556,477,0.0227737517676687,441,Wine
AGP_2.re,1098,3985,0.0879398747951289,502,0.0227737517676687,492,Wild
AGR_2.re,1099,3989,0.087939874795128,497,0.0227737517676686,475,Wild
AGS_2.re,1100,3990,0.0879397870694555,472,0.0227737517676687,466,Wine
AGT_2.re,1095,3987,0.0879397870694554,523,0.0227737517676687,449,Unknown
AGV_2.re,1099,3986,0.0879398747951289,476,0.0227737517676687,477,Wine
AHA_2.re,1096,3988,0.0879397870694556,513,0.0227737517676686,470,Wild
AHB_2.re,1096,3985,0.0879397870694553,475,0.0227737517676686,449,Wild
AHC_2.re,1098,3988,0.0879398747951289,459,0.0227737517676686,466,Industrial
AHD_1.re,1107,3992,0.0879397870694559,505,0.0227737517676686,486,Wine
AHE_3.re,1099,3986,0.0879397870694559,509,0.0227737517676687,483,Wine
AHF_3.re,1099,3985,0.0879398747951283,469,0.0227737517676686,495,Wild
AHG_3.re,1103,3985,0.0879397870694557,483,0.0227737517676686,449,Wild
AHH_3.re,1098,3988,0.0879397870694559,494,0.0227737517676686,458,Wine
AHI_3.re,1098,3986,0.087939874795127,460,0.0227737517676686,480,Wine
AHK_3.re,1094,3988,0.0879397870694559,494,0.0227737517676686,458,Wine
AHL_3.re,1098,3996,0.0879397870694553,515,0.0227737517676687,491,Industrial
AHM_1.re,1096,3993,0.0879398747951292,496,0.0227737517676687,472,Industrial
AHN_3.re,1098,3996,0.0879397870694556,487,0.0227737517676686,471,Wine
AHP_1.re,1093,3985,0.0879397870694558,488,0.0227737517676687,477,Wine
AHQ_1.re,1096,3980,0.0879397870694559,507,0.0227737517676686,435,Industrial
AHR_1.re,1106,3990,0.0879398747951289,502,0.0227737517676687,488,Human
AHS_3.re,1091,3986,0.087939874795128,503,0.0227737517676686,470,Wine
AHT_3.re,1101,3987,0.0879398747951286,456,0.0227737517676687,480,Fermentation
AHV_1.re,1095,3983,0.0879397870694552,491,0.0227737517676687,451,Beer
AIA_1.re,1095,3984,0.0879398747951289,473,0.0227737517676687,457,Wine
AIB_1.re,1099,3986,0.0879398747951289,476,0.0227737517676687,477,Wine
AIC_1.re,1098,3987,0.0879398747951289,470,0.0227737517676686,498,Wine
AID_2.re,1099,3998,0.087939787069456,505,0.0227737517676686,458,Human
AIE_1.re,1101,3999,0.0879398747951289,504,0.0227737517676686,451,Human
AIF_1.re,1101,3990,0.0879397870694555,472,0.0227737517676687,466,Wine
AIG_2.re,1095,3982,0.0879397870694557,526,0.0227737517676686,443,Beer
AII_1.re,1103,3990,0.0879398747951284,492,0.0227737517676687,476,Bakery
AIK_2.re,1099,3987,0.087939787069456,473,0.0227737517676686,461,Wild
AIL_3.re,1101,3990,0.0879397870694555,472,0.0227737517676687,466,Wild
AIM_2.re,1095,3986,0.0879397870694559,509,0.0227737517676687,483,Wine
AIN_1.re,1096,3983,0.0879398747951289,474,0.0227737517676686,475,Wine
AIP_2.re,1091,3981,0.0879398747951282,503,0.0227737517676686,434,Wine
AIQ_1.re,1102,3987,0.0879397870694555,487,0.0227737517676686,445,Fermentation
AIR_1.re,1102,3989,0.087939787069456,524,0.0227737517676686,468,Wine
AIT_2.re,1102,3989,0.087939787069456,524,0.0227737517676686,468,Wine
AKB_2.re,1091,3974,0.0745947577077033,492,0.0216423732272991,478,Wine
AKC_4.re,1093,3979,0.0879398747951284,495,0.0227737517676686,461,Wine
AKD_2.re,1100,3982,0.0745946810291322,512,0.021642373227299,465,Wine
AKE_3.re,1095,3979,0.0,53,0.0,0,Wine
AKG_3.re,1092,3982,0.0879397870694551,530,0.0227737517676686,478,Wine
AKH_3.re,1094,3975,0.0,34,0.0,0,Wine
AKI_4.re,1087,3981,0.0879398747951286,470,0.0227737517676686,487,Wine
AKL_3.re,1099,3989,0.0879398747951289,493,0.0227737517676687,478,Sake
AKM_4.re,1098,3995,0.0879397870694562,517,0.0227737517676687,445,Wild
AKN_3.re,1099,3986,0.0879398747951283,466,0.0227737517676685,487,Soil
AKP_3.re,1102,3996,0.0879398747951278,482,0.0227737517676685,472,Industrial
AKQ_5.re,1098,3987,0.0879398747951286,502,0.0227737517676686,472,Insect
AKR_3.re,1096,3998,0.0879398747951283,490,0.0227737517676686,476,Wild
AKS_5.re,1100,4000,0.0879397870694558,503,0.0227737517676686,489,Wild
AKT_4.re,1084,3981,0.0,94,0.0,135,Insect
AKV_3.re,1100,3996,0.0879398747951278,482,0.0227737517676685,472,Wild
ALA_5.re,1096,3999,0.0879397870694559,518,0.0227737517676686,474,Insect
ALB_3.re,1096,3999,0.0879397870694559,518,0.0227737517676686,474,Insect
ALC_4.re,1097,3999,0.0879397870694559,518,0.0227737517676686,474,Wild
ALD_4.re,1085,3978,0.0879397870694556,488,0.0227737517676687,454,Wild
ALE_4.re,1101,3996,0.0879398747951278,482,0.0227737517676685,472,Insect
ALG_5.re,1096,3986,0.0771016337484447,507,0.0,0,Wild
ALH_4.re,1095,3996,0.0879397870694553,491,0.0227737517676686,491,Wild
ALI_5.re,1089,3984,0.0771016337484448,480,0.0,0,Wild
ALK_4.re,1092,3998,0.0771016337484449,501,0.0,0,Wild
ALL_4.re,1101,3986,0.0879397870694556,504,0.0227737517676686,479,Wild
ALM_4.re,1108,3992,0.0879397870694559,505,0.0227737517676686,486,Wild
ALN_4.re,1078,3977,0.0,122,0.0,0,Wild
ALP_4.re,1089,3979,0.0,106,0.0,0,Wild
ALQ_4.re,1100,3990,0.0879397870694577,517,0.0227737517676687,465,Wild
ALR_4.re,1081,3961,0.0,32,0.0,0,Wild
ALS_5.re,1100,3990,0.0879397870694577,517,0.0227737517676687,465,Wild
ALT_5.re,1103,3988,0.0879398747951278,483,0.0227737517676687,457,Wild
AMA_5.re,1100,3988,0.0879398747951282,466,0.0227737517676687,473,Wild
AMB_5.re,1098,3987,0.0879398747951279,462,0.0227737517676687,493,Insect
AMC_5.re,1095,3986,0.0771016337484445,498,0.0,0,Insect
AMD_5.re,1098,3986,0.0879398747951283,496,0.0227737517676685,487,Wild
AMF_4.re,1098,3985,0.0879397870694562,501,0.0227737517676686,454,Wild
AMG_4.re,1075,3956,0.0879398747951283,494,0.0227737517676687,479,Wild
AMH_5.re,1094,3983,0.0879398429364095,512,0.0227737517676686,498,Soil
AMI_4.re,1077,3957,0.0879398747951289,474,0.0227737517676686,475,Wild
AMK_4.re,1078,3978,0.0830786036686979,472,0.0,0,Wild
AML_4.re,1085,3979,0.0879398747951274,497,0.0227737517676686,460,Wild
AMM_4.re,1097,3991,0.0879398747951286,464,0.0227737517676687,480,Wild
AMP_5.re,1096,3981,0.0879398747951289,474,0.0227737517676686,481,Wild
AMQ_5.re,1080,3965,0.0830786036686982,480,0.0,0,Wild
AMR_4.re,1101,3990,0.0879397870694577,517,0.0227737517676687,465,Soil
AMS_5.re,1101,3990,0.0879397870694555,472,0.0227737517676687,466,Human
AMT_5.re,1097,3985,0.0879398747951286,494,0.0227737517676687,486,Human
ANA_5.re,1096,3986,0.0879398747951281,475,0.0227737517676686,478,Wine
ANC_4.re,1099,3987,0.0879398747951279,462,0.0227737517676687,493,Wild
AND_4.re,1098,3987,0.0879398747951279,462,0.0227737517676687,493,Soil
ANE_4.re,1098,3985,0.0879397870694562,501,0.0227737517676686,454,Soil
ANF_4.re,1098,3986,0.0879398747951283,466,0.0227737517676685,487,Soil
ANG_4.re,1099,3987,0.0879398747951279,462,0.0227737517676687,493,Soil
ANH_4.re,1100,3987,0.0879398747951279,462,0.0227737517676687,493,Wild
ANI_4.re,1099,3986,0.0879398747951283,466,0.0227737517676685,487,Soil
ANK_4.re,1100,3987,0.0879398747951279,462,0.0227737517676687,493,Wild
ANL_2.re,1064,3961,0.0,30,0.0,0,Beer
ANM_2.re,1067,3960,0.0730116418386712,498,0.0,0,Beer
ANN_4.re,1094,3976,0.0879398747951289,471,0.0227737517676687,495,Fermentation
ANP_2.re,1089,3983,0.0,76,0.0,122,Insect
ANQ_2.re,1102,3988,0.0879398747951289,487,0.0227737517676687,444,Wine
ANR_2.re,1092,3982,0.0879397870694559,483,0.0227737517676686,499,Sake
ANS_2.re,1091,3984,0.0879398747951286,455,0.0227737517676686,461,Sake
ANT_2.re,1092,3985,0.0879397870694557,487,0.0227737517676686,483,Sake
ANV_5.re,1094,3982,0.0879397870694559,483,0.0227737517676686,499,Sake
APA_2.re,1091,3984,0.0879398747951286,455,0.0227737517676686,461,Sake
APC_4.re,1089,3982,0.0771016337484444,499,0.0,0,Sake
APD_4.re,1093,3982,0.0879397870694559,509,0.0227737517676687,472,Sake
APE_4.re,1093,3984,0.0879397870694567,487,0.0227737517676687,476,Sake
APF_4.re,1094,3984,0.0879397870694567,487,0.0227737517676687,476,Sake
APG_4.re,1090,3981,0.0771016337484445,512,0.0,0,Bioethanol
APH_4.re,1098,3984,0.0879398747951289,505,0.0227737517676688,474,Distillery
API_4.re,1086,3980,0.0,53,0.0,0,Bakery
APK_4.re,1076,3959,0.0830786036686978,493,0.0,0,Bakery
APL_4.re,1085,3979,0.0859565303278964,510,0.0227737517676687,481,Bakery
APM_4.re,1086,3975,0.0879398429364098,479,0.0227737517676686,457,Bakery
APN_4.re,1080,3962,0.0771016635089223,471,0.0,0,Bakery
APP_4.re,1099,3998,0.0879398429364095,482,0.0227737517676686,492,Beer
APQ_4.re,1091,3978,0.0879397870694554,494,0.0227737517676687,452,Wine
APR_4.re,1091,3980,0.0879397870694558,526,0.0227737517676686,458,Beer
APS_4.re,1105,3991,0.0879397870694555,502,0.0227737517676686,459,Wine
APT_7.re,1096,3982,0.0879397870694553,511,0.0227737517676687,496,Wine
APV_4.re,1095,3982,0.0879397870694553,511,0.0227737517676687,496,Wine
AQA_4.re,1091,3980,0.077101580161789,497,0.0,0,Industrial
AQB_7.re,1091,3984,0.0771016635089227,512,0.0,0,Wine
AQC_4.re,1095,3986,0.0879398747951289,482,0.0227737517676686,476,Wine
AQD_4.re,1093,3981,0.0879398747951289,498,0.0227737517676687,473,Industrial
AQE_5.re,1093,3986,0.0879398429364095,482,0.0227737517676687,486,Wine
AQG_4.re,1097,3985,0.0879398747951282,478,0.0227737517676686,484,Beer
AQH_2.re,1078,3977,0.0,55,0.0,0,Industrial
AQI_4.re,1081,3976,0.0,29,0.0,0,Wild
AQM_4.re,1084,3973,0.0879398747951279,493,0.0227737517676687,471,Dairy
AQN_7.re,1091,3982,0.0879398747951284,490,0.0227737517676686,474,Sake
AQP_4.re,1095,3980,0.087939874795129,469,0.0227737517676686,481,Wine
AQQ_4.re,1100,3984,0.0879397870694555,495,0.0227737517676687,469,Wine
AQR_4.re,1100,3990,0.0879397870694555,472,0.0227737517676687,466,Wine
AQS_4.re,1094,3984,0.0879398747951282,473,0.0227737517676686,462,Distillery
AQT_4.re,1084,3985,0.0771016337484447,506,0.0,0,Beer
ARA_4.re,1079,3974,0.0,22,0.0,0,Distillery
ARB_2.re,1089,3959,0.0708693679138137,482,0.0213630511118409,465,Bakery
ARC_5.re,1098,3985,0.0879397870694556,479,0.0227737517676686,474,Wine
ARE_5.re,1091,3982,0.0,55,0.0,0,Wild
ARG_5.re,1095,3987,0.0879398747951289,464,0.0227737517676687,453,Wild
ARH_5.re,1095,3987,0.0879398747951287,502,0.0227737517676687,472,Fermentation
ARI_5.re,1098,3989,0.087939874795128,483,0.0227737517676687,474,Fermentation
ARK_5.re,1097,3982,0.0879398747951289,473,0.0227737517676687,478,Wild
ARL_2.re,1097,3984,0.0879398747951274,483,0.0227737517676686,488,Wild
ARM_6.re,1089,3983,0.0771016337484442,484,0.0,0,Wild
ARN_6.re,1082,3968,0.0771016635089227,506,0.0,0,Human
ARP_2.re,1092,3984,0.0879398747951278,472,0.0227737517676686,486,Wine
ARQ_6.re,1099,3985,0.0879398747951286,494,0.0227737517676687,486,Wine
ARR_6.re,1080,3966,0.0879397870694554,491,0.0227737517676686,450,Dairy
ARS_1.re,1081,3972,0.0,30,0.0,0,Wild
ART_6.re,1100,3992,0.087939787069456,484,0.0227737517676687,455,Wine
ARV_6.re,1101,3989,0.087939874795128,497,0.0227737517676686,475,Distillery
ASA_6.re,1095,3984,0.0879398747951282,479,0.0227737517676686,481,Wine
ASB_2.re,1085,3972,0.0,30,0.0,0,Human
ASC_6.re,1081,3962,0.0,22,0.0,0,Beer
ASD_2.re,1102,3991,0.087939787069456,484,0.0227737517676687,454,Bakery
ASE_2.re,1102,3991,0.087939787069456,484,0.0227737517676687,454,Wine
ASG_3.re,1099,3988,0.0879398747951278,510,0.0227737517676687,498,Human
ASH_3.re,1080,3953,0.0,34,0.0,0,Beer
ASL_8.re,1082,3972,0.0,55,0.0,0,Bakery
ASM_8.re,1083,3976,0.0771016635089223,505,0.0,0,Wild
ASN_8.re,1076,3969,0.0,53,0.0,0,Dairy
ASP_8.re,1086,3974,0.0,30,0.0,0,Unknown
ASR_1.re,1096,3981,0.0879398747951289,463,0.0227737517676686,456,Wine
ASS_1.re,1100,3989,0.087939874795128,497,0.0227737517676686,475,Wine
AST_1.re,1092,3979,0.0879397870694559,499,0.0227737517676686,466,Wine
ASV_1.re,1090,3993,0.0879398747951287,470,0.0227737517676686,468,Wine
ATA_8.re,1098,3984,0.0879397870694555,491,0.0227737517676688,444,Wine
ATC_1.re,1095,3984,0.0,52,0.0,0,Human
ATD_1.re,1096,3987,0.0879397870694562,481,0.0227737517676687,463,Human
ATE_1.re,1090,3982,0.0879397870694558,490,0.0227737517676687,447,Unknown
ATH_3.re,1100,3987,0.0879397870694559,508,0.0227737517676686,486,Wine
ATM_4.re,1100,3984,0.0879397870694559,489,0.0227737517676686,484,Wine
ATN_4.re,1101,3989,0.087939874795128,497,0.0227737517676686,475,Wild
ATP_4.re,1093,3980,0.0879397870694558,526,0.0227737517676686,458,Wine
ATQ_7.re,1097,3995,0.0879398747951289,502,0.0227737517676687,466,Industrial
ATR_4.re,1090,3971,0.0,42,0.0,0,Wild
ATS_3.re,1087,3980,0.0879398747951289,475,0.0227737517676685,474,Wild
AVB_8.re,1097,3996,0.0879397870694553,515,0.0227737517676687,491,Industrial
AVC_3.re,1094,3985,0.0879397870694546,521,0.0227737517676686,463,Sake
AVD_3.re,1094,3984,0.0879397870694567,487,0.0227737517676687,476,Sake
AVH_5.re,1099,3987,0.0879398747951286,484,0.0227737517676686,489,Wine
AVI_5.re,1098,3986,0.0879398747951283,466,0.0227737517676685,487,Soil
AVK_6.re,1101,3986,0.087939874795128,503,0.0227737517676686,470,Wine
AVL_6.re,1094,3984,0.0879397870694567,487,0.0227737517676687,476,Sake
AVM_5.re,1093,3984,0.0879397870694567,487,0.0227737517676687,476,Sake
AVN_5.re,1064,3869,0.0,36,0.0,0,Beer
AVV_8.re,1086,3975,0.0771016337484447,490,0.0,0,Wine
BAA_6.re,1090,3980,0.0879398747951285,505,0.0227737517676687,484,Wine
BAB_8.re,1087,3978,0.0771016635089222,464,0.0,0,Wine
BAC_8.re,1086,3978,0.0879398747951279,474,0.0227737517676687,473,Wine
BAD_8.re,1085,3973,0.0879397870694551,518,0.0227737517676686,469,Wine
BAE_6.re,1091,3981,0.0879398747951289,483,0.0227737517676686,455,Wine
BAF_6.re,1090,3981,0.0879397870694555,509,0.0227737517676686,458,Wine
BAG_6.re,1096,3985,0.0879397870694562,501,0.0227737517676686,454,Wild
BAH_6.re,1099,3988,0.0879397870694552,496,0.0227737517676687,455,Wild
BAI_7.re,1095,3987,0.0879398747951279,462,0.0227737517676687,493,Wild
BAK_7.re,1094,3985,0.0879397870694562,501,0.0227737517676686,454,Wild
BAL_7.re,1098,3988,0.0879398747951286,478,0.0227737517676686,488,Wild
BAM_7.re,1096,3997,0.0879398747951284,468,0.0227737517676687,483,Wild
BAN_7.re,1099,3991,0.0879398747951289,486,0.0227737517676686,453,Wild
BAP_7.re,1100,3993,0.0879398747951289,486,0.0227737517676687,463,Soil
BAQ_7.re,1098,3999,0.0879397870694559,520,0.0227737517676687,485,Wild
BAR_7.re,1102,3989,0.0879398747951282,499,0.0227737517676689,476,Wild
BAS_8.re,1103,3989,0.0879398747951282,499,0.0227737517676689,476,Soil
BAT_8.re,1099,3988,0.0771016337484444,518,0.0,0,Soil
BAV_7.re,1099,3986,0.087939874795127,460,0.0227737517676686,480,Wine
BBA_8.re,1100,3989,0.087939874795128,497,0.0227737517676686,475,Soil
BBB_6.re,1097,3985,0.0879398747951286,494,0.0227737517676687,486,Soil
BBD_8.re,1087,3985,0.0879397870694553,496,0.0227737517676688,455,Wild
BBE_6.re,1087,3984,0.0879398429364095,473,0.0227737517676687,481,Wild
BBF_6.re,1092,3981,0.0,96,0.0,163,Wild
BBG_6.re,1080,3955,0.0,36,0.0,0,Wild
BBH_6.re,1100,3990,0.0879397870694577,517,0.0227737517676687,465,Wild
BBI_6.re,1102,3988,0.0879398747951289,503,0.0227737517676686,458,Wild
BBK_6.re,1100,3988,0.0879398747951278,483,0.0227737517676687,457,Wild
BBL_6.re,1097,3987,0.0879398747951279,462,0.0227737517676687,493,Insect
BBM_6.re,1093,3984,0.0879398747951286,475,0.0227737517676686,450,Distillery
BBP_3.re,1087,3979,0.0,89,0.0,68,Wild
BBQ_3.re,1097,3986,0.0879398747951289,461,0.0227737517676686,466,Soil
BBR_3.re,1099,3998,0.0879398747951289,492,0.0227737517676686,487,Wild
BBS_3.re,1094,3983,0.0771016337484447,490,0.0,0,Soil
BBT_3.re,1087,3987,0.0,52,0.0,87,Wine
BBV_3.re,1098,3987,0.087939787069456,473,0.0227737517676686,461,Wine
BCA_3.re,1096,3981,0.0879398747951283,493,0.0227737517676687,472,Human
BCB_3.re,1089,3978,0.0859565817157091,498,0.0227737517676687,492,Human
BCC_3.re,1091,3983,0.0879398747951284,474,0.0227737517676687,435,Human
BCD_8.re,1090,3979,0.0879397870694554,493,0.0227737517676687,467,Human
BCE_8.re,1090,3981,0.0879398747951288,492,0.0227737517676686,482,Human
BCF_8.re,1089,3979,0.0879398747951276,484,0.0227737517676686,470,Human
BCG_8.re,1090,3978,0.0,43,0.0,0,Human
BCH_5.re,1093,3978,0.0879398747951283,474,0.0227737517676686,470,Human
BCI_8.re,1086,3967,0.0879398747951279,498,0.0227737517676686,471,Human
BCK_8.re,1095,3984,0.0879398747951286,461,0.0227737517676687,457,Human
BCL_5.re,1088,3977,0.0879397870694561,491,0.0227737517676687,477,Human
BCM_8.re,1096,3983,0.087939874795129,496,0.0227737517676687,464,Human
