file                                                             format  type     num_seqs    sum_len  min_len  avg_len  max_len
GCA_000976095.2_Sc_YJM470_v1_genomic.fa                          FASTA   Protein     5,960  2,782,182       31    466.8    4,910
GCA_000976125.2_Sc_YJM541_v1_genomic.fa                          FASTA   Protein     5,954  2,789,048       31    468.4    4,910
GCA_000976155.4_Sc_YJM554_v1_genomic.fa                          FASTA   Protein     5,959  2,794,306       31    468.9    4,910
GCA_000976185.2_Sc_YJM555_v1_genomic.fa                          FASTA   Protein     5,956  2,791,802       31    468.7    4,910
GCA_000976215.2_Sc_YJM627_v1_genomic.fa                          FASTA   Protein     5,972  2,786,630       31    466.6    4,910
GCA_000976245.2_Sc_YJM681_v1_genomic.fa                          FASTA   Protein     5,928  2,799,092       31    472.2    4,910
GCA_000976275.4_Sc_YJM682_v1_genomic.fa                          FASTA   Protein     5,996  2,790,557       31    465.4    4,910
GCA_000976305.2_Sc_YJM683_v1_genomic.fa                          FASTA   Protein     5,957  2,792,124       31    468.7    4,910
GCA_000976335.2_Sc_YJM689_v1_genomic.fa                          FASTA   Protein     5,936  2,772,462       32    467.1    4,910
GCA_000976365.2_Sc_YJM693_v1_genomic.fa                          FASTA   Protein     5,996  2,793,261       31    465.9    4,910
GCA_000976395.2_Sc_YJM969_v1_genomic.fa                          FASTA   Protein     5,939  2,791,079       31      470    4,910
GCA_000976425.2_Sc_YJM972_v1_genomic.fa                          FASTA   Protein     5,952  2,787,888       31    468.4    4,910
GCA_000976455.3_Sc_YJM975_v1_genomic.fa                          FASTA   Protein     5,935  2,784,598       31    469.2    4,910
GCA_000976485.2_Sc_YJM978_v1_genomic.fa                          FASTA   Protein     5,929  2,780,722       31      469    4,910
GCA_000976515.2_Sc_YJM981_v1_genomic.fa                          FASTA   Protein     5,922  2,788,682       31    470.9    4,910
GCA_000976545.2_Sc_YJM984_v1_genomic.fa                          FASTA   Protein     5,894  2,780,501       31    471.8    4,910
GCA_000976575.4_Sc_YJM987_v1_genomic.fa                          FASTA   Protein     5,947  2,792,166       31    469.5    4,910
GCA_000976605.3_Sc_YJM990_v1_genomic.fa                          FASTA   Protein     5,833  2,729,112       31    467.9    4,910
GCA_000976665.2_Sc_YJM996_v1_genomic.fa                          FASTA   Protein     5,946  2,781,761       31    467.8    4,910
GCA_000976695.3_Sc_YJM1133_v1_genomic.fa                         FASTA   Protein     5,810  2,721,400       31    468.4    4,910
GCA_000976725.3_Sc_YJM1190_v1_genomic.fa                         FASTA   Protein     5,913  2,783,389       31    470.7    4,910
GCA_000976755.2_Sc_YJM1199_v1_genomic.fa                         FASTA   Protein     5,979  2,791,734       31    466.9    4,910
GCA_000976785.2_Sc_YJM1202_v1_genomic.fa                         FASTA   Protein     5,988  2,800,693       31    467.7    4,910
GCA_000976815.3_Sc_YJM1208_v1_genomic.fa                         FASTA   Protein     5,969  2,796,438       31    468.5    4,910
GCA_000976845.3_Sc_YJM1242_v1_genomic.fa                         FASTA   Protein     5,905  2,776,532       31    470.2    4,910
GCA_000976875.3_Sc_YJM1244_v1_genomic.fa                         FASTA   Protein     5,916  2,765,431       31    467.4    4,910
GCA_000976905.2_Sc_YJM1248_v1_genomic.fa                         FASTA   Protein     5,935  2,771,349       31      467    4,910
GCA_000976935.2_Sc_YJM1250_v1_genomic.fa                         FASTA   Protein     6,011  2,823,035       31    469.6    4,910
GCA_000976965.3_Sc_YJM1252_v1_genomic.fa                         FASTA   Protein     5,926  2,775,241       31    468.3    4,910
GCA_000976995.2_Sc_YJM1273_v1_genomic.fa                         FASTA   Protein     5,978  2,805,320       31    469.3    4,910
GCA_000977025.2_Sc_YJM1304_v1_genomic.fa                         FASTA   Protein     5,975  2,792,243       32    467.3    4,910
GCA_000977055.3_Sc_YJM1307_v1_genomic.fa                         FASTA   Protein     5,921  2,787,848       31    470.8    4,910
GCA_000977085.2_Sc_YJM1311_v1_genomic.fa                         FASTA   Protein     5,923  2,789,759       31      471    4,910
GCA_000977115.3_Sc_YJM1326_v1_genomic.fa                         FASTA   Protein     5,949  2,794,617       31    469.8    4,910
GCA_000977145.2_Sc_YJM1332_v1_genomic.fa                         FASTA   Protein     5,911  2,781,892       31    470.6    4,910
GCA_000977175.3_Sc_YJM1336_v1_genomic.fa                         FASTA   Protein     5,994  2,805,420       31      468    4,910
GCA_000977205.2_Sc_YJM1338_v1_genomic.fa                         FASTA   Protein     5,914  2,787,658       31    471.4    4,910
GCA_000977235.2_Sc_YJM1341_v1_genomic.fa                         FASTA   Protein     5,938  2,791,499       31    470.1    4,910
GCA_000977265.3_Sc_YJM1342_v1_genomic.fa                         FASTA   Protein     5,990  2,795,779       31    466.7    4,910
GCA_000977295.2_Sc_YJM1355_v1_genomic.fa                         FASTA   Protein     6,048  2,817,487       32    465.9    4,903
GCA_000977325.2_Sc_YJM1356_v1_genomic.fa                         FASTA   Protein     5,906  2,782,553       31    471.1    4,910
GCA_000977355.3_Sc_YJM1381_v1_genomic.fa                         FASTA   Protein     5,934  2,787,496       31    469.7    4,910
GCA_000977385.2_Sc_YJM1383_v1_genomic.fa                         FASTA   Protein     5,941  2,794,661       31    470.4    4,910
GCA_000977415.2_Sc_YJM1385_v1_genomic.fa                         FASTA   Protein     5,977  2,796,058       31    467.8    4,910
GCA_000977445.2_Sc_YJM1386_v1_genomic.fa                         FASTA   Protein     5,976  2,795,284       32    467.8    4,910
GCA_000977475.3_Sc_YJM1387_v1_genomic.fa                         FASTA   Protein     5,986  2,793,717       31    466.7    4,903
GCA_000977505.2_Sc_YJM1388_v1_genomic.fa                         FASTA   Protein     5,932  2,784,009       32    469.3    4,903
GCA_000977535.2_Sc_YJM1389_v1_genomic.fa                         FASTA   Protein     5,888  2,780,135       31    472.2    4,903
GCA_000977565.2_Sc_YJM1399_v1_genomic.fa                         FASTA   Protein     6,015  2,830,020       31    470.5    4,910
GCA_000977595.2_Sc_YJM1400_v1_genomic.fa                         FASTA   Protein     5,929  2,787,964       31    470.2    4,910
GCA_000977625.2_Sc_YJM1401_v1_genomic.fa                         FASTA   Protein     5,945  2,787,193       31    468.8    4,910
GCA_000977655.2_Sc_YJM1402_v1_genomic.fa                         FASTA   Protein     5,923  2,793,085       32    471.6    4,910
GCA_000977685.2_Sc_YJM1415_v1_genomic.fa                         FASTA   Protein     5,914  2,790,083       31    471.8    4,910
GCA_000977715.4_Sc_YJM1417_v1_genomic.fa                         FASTA   Protein     5,945  2,785,980       31    468.6    4,910
GCA_000977745.2_Sc_YJM1418_v1_genomic.fa                         FASTA   Protein     5,901  2,791,513       31    473.1    4,910
GCA_000977775.3_Sc_YJM1419_v1_genomic.fa                         FASTA   Protein     5,945  2,791,569       31    469.6    4,910
GCA_000977805.2_Sc_YJM1433_v1_genomic.fa                         FASTA   Protein     5,863  2,767,573       31      472    4,910
GCA_000977835.2_Sc_YJM1434_v1_genomic.fa                         FASTA   Protein     5,969  2,811,849       31    471.1    4,910
GCA_000977865.2_Sc_YJM1439_v1_genomic.fa                         FASTA   Protein     5,921  2,780,258       31    469.6    4,910
GCA_000977895.2_Sc_YJM1443_v1_genomic.fa                         FASTA   Protein     5,807  2,742,112       31    472.2    4,910
GCA_000977925.2_Sc_YJM1444_v1_genomic.fa                         FASTA   Protein     5,870  2,767,967       31    471.5    4,910
GCA_000977955.2_Sc_YJM1447_v1_genomic.fa                         FASTA   Protein     5,891  2,778,568       31    471.7    4,910
GCA_000977985.2_Sc_YJM1450_v1_genomic.fa                         FASTA   Protein     5,911  2,755,624       31    466.2    4,910
GCA_000978015.2_Sc_YJM1460_v1_genomic.fa                         FASTA   Protein     5,921  2,768,782       32    467.6    4,903
GCA_000978045.2_Sc_YJM1463_v1_genomic.fa                         FASTA   Protein     5,911  2,769,368       31    468.5    4,910
GCA_000978075.3_Sc_YJM1477_v1_genomic.fa                         FASTA   Protein     5,924  2,778,675       31    469.1    4,910
GCA_000978105.2_Sc_YJM1478_v1_genomic.fa                         FASTA   Protein     5,979  2,800,106       31    468.3    4,910
GCA_000978135.2_Sc_YJM1479_v1_genomic.fa                         FASTA   Protein     5,974  2,789,339       31    466.9    4,910
GCA_000978165.2_Sc_YJM1526_v1_genomic.fa                         FASTA   Protein     5,935  2,787,345       31    469.6    4,910
GCA_000978195.2_Sc_YJM1527_v1_genomic.fa                         FASTA   Protein     5,929  2,789,404       31    470.5    4,910
GCA_000978225.2_Sc_YJM1549_v1_genomic.fa                         FASTA   Protein     5,952  2,787,680       31    468.4    4,910
GCA_000978255.2_Sc_YJM1573_v1_genomic.fa                         FASTA   Protein     5,965  2,795,192       32    468.6    4,910
GCA_000978285.2_Sc_YJM1574_v1_genomic.fa                         FASTA   Protein     5,878  2,747,035       31    467.3    4,910
GCA_000978315.2_Sc_YJM1592_v1_genomic.fa                         FASTA   Protein     5,865  2,769,042       31    472.1    4,903
GCA_000978345.2_Sc_YJM1615_v1_genomic.fa                         FASTA   Protein     6,028  2,820,143       31    467.8    4,910
GCA_001669875.1_ASM166987v1_genomic.fa                           FASTA   Protein     5,849  2,763,466       31    472.5    4,910
GCA_001669905.1_ASM166990v1_genomic.fa                           FASTA   Protein     5,837  2,762,593       31    473.3    4,910
GCA_001669935.1_ASM166993v1_genomic.fa                           FASTA   Protein     5,865  2,767,189       31    471.8    4,910
GCA_001669965.1_ASM166996v1_genomic.fa                           FASTA   Protein     5,832  2,761,392       31    473.5    4,910
GCA_001669995.1_ASM166999v1_genomic.fa                           FASTA   Protein     5,838  2,763,167       31    473.3    4,910
GCA_001670025.1_ASM167002v1_genomic.fa                           FASTA   Protein     5,870  2,769,363       31    471.8    4,910
GCA_001670055.1_ASM167005v1_genomic.fa                           FASTA   Protein     5,851  2,764,923       31    472.6    4,910
GCA_001670085.1_ASM167008v1_genomic.fa                           FASTA   Protein     5,833  2,759,878       31    473.1    4,910
GCA_001670115.1_ASM167011v1_genomic.fa                           FASTA   Protein     5,845  2,763,252       31    472.8    4,910
GCA_001670145.1_ASM167014v1_genomic.fa                           FASTA   Protein     5,856  2,763,193       31    471.9    4,910
GCA_001670175.1_ASM167017v1_genomic.fa                           FASTA   Protein     5,828  2,759,383       31    473.5    4,910
GCA_001670205.1_ASM167020v1_genomic.fa                           FASTA   Protein     5,849  2,763,374       31    472.5    4,910
GCA_001670235.1_ASM167023v1_genomic.fa                           FASTA   Protein     5,852  2,767,941       31      473    4,910
GCA_001670265.1_ASM167026v1_genomic.fa                           FASTA   Protein     5,837  2,764,324       31    473.6    4,910
GCA_001670295.1_ASM167029v1_genomic.fa                           FASTA   Protein     5,846  2,766,058       31    473.2    4,910
GCA_001670325.1_ASM167032v1_genomic.fa                           FASTA   Protein     5,854  2,766,746       31    472.6    4,910
GCA_001670355.1_ASM167035v1_genomic.fa                           FASTA   Protein     5,819  2,762,353       31    474.7    4,910
GCA_001670385.1_ASM167038v1_genomic.fa                           FASTA   Protein     5,822  2,760,948       31    474.2    4,910
GCA_001670415.1_ASM167041v1_genomic.fa                           FASTA   Protein     5,832  2,758,331       31      473    4,910
GCA_001670845.1_ASM167084v1_genomic.fa                           FASTA   Protein     5,843  2,764,024       31      473    4,910
GCA_001670935.1_ASM167093v1_genomic.fa                           FASTA   Protein     5,854  2,763,108       31      472    4,910
GCA_001670965.1_ASM167096v1_genomic.fa                           FASTA   Protein     5,844  2,764,541       31    473.1    4,910
GCA_001670995.1_ASM167099v1_genomic.fa                           FASTA   Protein     5,879  2,773,777       31    471.8    4,910
GCA_001671025.1_ASM167102v1_genomic.fa                           FASTA   Protein     5,837  2,761,193       31    473.1    4,910
GCA_001671055.1_ASM167105v1_genomic.fa                           FASTA   Protein     5,857  2,766,071       31    472.3    4,910
GCA_001671085.1_ASM167108v1_genomic.fa                           FASTA   Protein     5,852  2,764,615       31    472.4    4,910
GCA_001671115.1_ASM167111v1_genomic.fa                           FASTA   Protein     5,874  2,767,608       31    471.2    4,910
GCA_001671165.1_ASM167116v1_genomic.fa                           FASTA   Protein     5,836  2,763,073       31    473.5    4,910
GCA_001671195.1_ASM167119v1_genomic.fa                           FASTA   Protein     5,844  2,765,196       31    473.2    4,910
GCA_001671225.1_ASM167122v1_genomic.fa                           FASTA   Protein     5,831  2,759,508       31    473.2    4,910
GCA_001671255.1_ASM167125v1_genomic.fa                           FASTA   Protein     5,827  2,759,810       31    473.6    4,910
GCA_001671285.1_ASM167128v1_genomic.fa                           FASTA   Protein     5,858  2,768,821       31    472.7    4,910
GCA_001671315.1_ASM167131v1_genomic.fa                           FASTA   Protein     5,839  2,760,166       31    472.7    4,910
GCA_001671345.1_ASM167134v1_genomic.fa                           FASTA   Protein     5,843  2,764,371       31    473.1    4,910
GCA_001671375.1_ASM167137v1_genomic.fa                           FASTA   Protein     5,857  2,763,766       31    471.9    4,910
GCA_001671405.1_ASM167140v1_genomic.fa                           FASTA   Protein     5,813  2,754,235       31    473.8    4,910
GCA_001671435.1_ASM167143v1_genomic.fa                           FASTA   Protein     5,885  2,775,908       32    471.7    4,910
GCA_001671565.1_ASM167156v1_genomic.fa                           FASTA   Protein     5,855  2,763,891       31    472.1    4,910
GCA_001671595.1_ASM167159v1_genomic.fa                           FASTA   Protein     5,845  2,763,486       31    472.8    4,910
GCA_001671625.1_ASM167162v1_genomic.fa                           FASTA   Protein     5,866  2,770,128       31    472.2    4,910
GCA_001671655.1_ASM167165v1_genomic.fa                           FASTA   Protein     5,859  2,764,214       31    471.8    4,910
GCA_001671685.1_ASM167168v1_genomic.fa                           FASTA   Protein     5,832  2,762,354       31    473.7    4,910
GCA_001671715.1_ASM167171v1_genomic.fa                           FASTA   Protein     5,870  2,769,164       31    471.7    4,910
GCA_001671745.1_ASM167174v1_genomic.fa                           FASTA   Protein     5,841  2,763,560       31    473.1    4,910
GCA_001671775.1_ASM167177v1_genomic.fa                           FASTA   Protein     5,843  2,763,298       31    472.9    4,910
GCA_001671805.1_ASM167180v1_genomic.fa                           FASTA   Protein     5,839  2,759,935       31    472.7    4,910
GCA_001671835.1_ASM167183v1_genomic.fa                           FASTA   Protein     5,850  2,763,462       31    472.4    4,910
GCA_001671865.1_ASM167186v1_genomic.fa                           FASTA   Protein     5,833  2,760,495       31    473.3    4,910
GCA_001671895.1_ASM167189v1_genomic.fa                           FASTA   Protein     5,846  2,765,024       31      473    4,910
GCA_001671925.1_ASM167192v1_genomic.fa                           FASTA   Protein     5,843  2,765,498       31    473.3    4,910
GCA_001671955.1_ASM167195v1_genomic.fa                           FASTA   Protein     5,848  2,765,642       31    472.9    4,910
GCA_001671985.1_ASM167198v1_genomic.fa                           FASTA   Protein     5,871  2,767,427       31    471.4    4,910
GCA_003270095.1_ASM327009v1_genomic.fa                           FASTA   Protein     5,771  2,761,698       31    478.5    4,903
GCA_003270135.1_ASM327013v1_genomic.fa                           FASTA   Protein     5,659  2,684,677       31    474.4    4,903
GCA_003270145.1_ASM327014v1_genomic.fa                           FASTA   Protein     5,566  2,672,846       31    480.2    4,903
GCA_003270175.1_ASM327017v1_genomic.fa                           FASTA   Protein     5,779  2,754,206       32    476.6    4,903
GCA_003270185.1_ASM327018v1_genomic.fa                           FASTA   Protein     5,765  2,742,110       31    475.6    4,903
GCA_003270205.1_ASM327020v1_genomic.fa                           FASTA   Protein     5,652  2,709,350       31    479.4    4,903
GCA_003270245.1_ASM327024v1_genomic.fa                           FASTA   Protein     5,794  2,758,514       31    476.1    4,903
GCA_003270305.1_ASM327030v1_genomic.fa                           FASTA   Protein     5,788  2,754,009       32    475.8    4,903
GCA_003270315.1_ASM327031v1_genomic.fa                           FASTA   Protein     5,822  2,756,442       31    473.5    4,903
GCA_003270325.1_ASM327032v1_genomic.fa                           FASTA   Protein     5,746  2,742,522       32    477.3    4,903
GCA_003270335.1_ASM327033v1_genomic.fa                           FASTA   Protein     5,808  2,749,871       31    473.5    4,903
GCA_003270425.1_ASM327042v1_genomic.fa                           FASTA   Protein     5,664  2,690,962       31    475.1    4,887
GCA_003270435.1_ASM327043v1_genomic.fa                           FASTA   Protein     5,780  2,750,296       31    475.8    4,903
GCA_003270455.1_ASM327045v1_genomic.fa                           FASTA   Protein     5,810  2,753,591       31    473.9    4,903
GCA_003270465.1_ASM327046v1_genomic.fa                           FASTA   Protein     5,799  2,761,589       31    476.2    4,910
GCA_003270535.1_ASM327053v1_genomic.fa                           FASTA   Protein     5,795  2,760,084       32    476.3    4,903
GCA_003270565.1_ASM327056v1_genomic.fa                           FASTA   Protein     5,786  2,756,650       31    476.4    4,903
GCA_003270575.1_ASM327057v1_genomic.fa                           FASTA   Protein     5,804  2,764,156       31    476.3    4,910
GCA_003270595.1_ASM327059v1_genomic.fa                           FASTA   Protein     5,757  2,750,739       31    477.8    4,903
GCA_003270665.1_ASM327066v1_genomic.fa                           FASTA   Protein     5,734  2,748,093       31    479.3    4,903
GCA_003270695.1_ASM327069v1_genomic.fa                           FASTA   Protein     5,735  2,739,122       31    477.6    4,903
GCA_003270705.1_ASM327070v1_genomic.fa                           FASTA   Protein     5,775  2,758,998       31    477.7    4,903
GCA_003270715.1_ASM327071v1_genomic.fa                           FASTA   Protein     5,772  2,749,982       31    476.4    4,903
GCA_003270765.1_ASM327076v1_genomic.fa                           FASTA   Protein     5,792  2,755,345       31    475.7    4,903
GCA_003270815.1_ASM327081v1_genomic.fa                           FASTA   Protein     5,794  2,749,607       32    474.6    4,903
GCA_003270825.1_ASM327082v1_genomic.fa                           FASTA   Protein     5,771  2,747,156       31      476    4,903
GCA_003270835.1_ASM327083v1_genomic.fa                           FASTA   Protein     5,704  2,731,150       31    478.8    4,903
GCA_003270855.1_ASM327085v1_genomic.fa                           FASTA   Protein     5,810  2,762,729       31    475.5    4,903
GCA_003270935.1_ASM327093v1_genomic.fa                           FASTA   Protein     5,754  2,748,835       31    477.7    4,903
GCA_003270945.1_ASM327094v1_genomic.fa                           FASTA   Protein     5,791  2,756,310       32      476    4,903
GCA_003270955.1_ASM327095v1_genomic.fa                           FASTA   Protein     5,774  2,750,593       32    476.4    4,903
GCA_003270985.1_ASM327098v1_genomic.fa                           FASTA   Protein     5,812  2,763,527       31    475.5    4,903
GCA_003271045.1_ASM327104v1_genomic.fa                           FASTA   Protein     5,770  2,751,702       31    476.9    4,903
GCA_003271085.1_ASM327108v1_genomic.fa                           FASTA   Protein     5,722  2,737,295       31    478.4    4,903
GCA_003271115.1_ASM327111v1_genomic.fa                           FASTA   Protein     5,806  2,759,717       31    475.3    4,903
GCA_003271125.1_ASM327112v1_genomic.fa                           FASTA   Protein     5,823  2,764,036       31    474.7    4,903
GCA_003271135.1_ASM327113v1_genomic.fa                           FASTA   Protein     5,785  2,758,463       32    476.8    4,903
GCA_003271185.1_ASM327118v1_genomic.fa                           FASTA   Protein     5,632  2,638,136       31    468.4    4,772
GCA_003271225.1_ASM327122v1_genomic.fa                           FASTA   Protein     5,805  2,752,571       31    474.2    4,910
GCA_003271245.1_ASM327124v1_genomic.fa                           FASTA   Protein     5,758  2,746,937       32    477.1    4,903
GCA_003271255.1_ASM327125v1_genomic.fa                           FASTA   Protein     5,758  2,748,065       32    477.3    4,903
GCA_003271315.1_ASM327131v1_genomic.fa                           FASTA   Protein     5,780  2,751,946       32    476.1    4,910
GCA_003271355.1_ASM327135v1_genomic.fa                           FASTA   Protein     5,771  2,754,428       31    477.3    4,910
GCA_003271365.1_ASM327136v1_genomic.fa                           FASTA   Protein     5,732  2,738,605       31    477.8    4,910
GCA_003271395.1_ASM327139v1_genomic.fa                           FASTA   Protein     5,760  2,749,315       31    477.3    4,910
GCA_003271425.1_ASM327142v1_genomic.fa                           FASTA   Protein     5,743  2,743,787       31    477.8    4,903
GCA_003271475.1_ASM327147v1_genomic.fa                           FASTA   Protein     5,758  2,751,545       31    477.9    4,910
GCA_003271505.1_ASM327150v1_genomic.fa                           FASTA   Protein     5,714  2,712,398       31    474.7    4,903
GCA_003271535.1_ASM327153v1_genomic.fa                           FASTA   Protein     5,780  2,751,284       31      476    4,903
GCA_003271545.1_ASM327154v1_genomic.fa                           FASTA   Protein     5,725  2,740,112       31    478.6    4,903
GCA_003271555.1_ASM327155v1_genomic.fa                           FASTA   Protein     5,796  2,760,514       31    476.3    4,903
GCA_003271565.1_ASM327156v1_genomic.fa                           FASTA   Protein     5,783  2,749,744       31    475.5    4,903
GCA_003271645.1_ASM327164v1_genomic.fa                           FASTA   Protein     5,756  2,744,545       31    476.8    4,910
GCA_003271675.1_ASM327167v1_genomic.fa                           FASTA   Protein     5,735  2,733,449       31    476.6    4,910
GCA_003271695.1_ASM327169v1_genomic.fa                           FASTA   Protein     5,814  2,761,596       31      475    4,903
GCA_003271705.1_ASM327170v1_genomic.fa                           FASTA   Protein     5,771  2,742,603       31    475.2    4,910
GCA_003271775.1_ASM327177v1_genomic.fa                           FASTA   Protein     5,785  2,752,908       31    475.9    4,910
GCA_003271805.1_ASM327180v1_genomic.fa                           FASTA   Protein     5,802  2,756,241       31    475.1    4,903
GCA_003271815.1_ASM327181v1_genomic.fa                           FASTA   Protein     5,777  2,747,846       31    475.7    4,903
GCA_003271825.1_ASM327182v1_genomic.fa                           FASTA   Protein     5,701  2,704,980       31    474.5    4,903
GCA_003271835.1_ASM327183v1_genomic.fa                           FASTA   Protein     5,746  2,743,142       31    477.4    4,903
GCA_003271925.1_ASM327192v1_genomic.fa                           FASTA   Protein     5,770  2,746,641       31      476    4,910
GCA_003271935.1_ASM327193v1_genomic.fa                           FASTA   Protein     5,780  2,749,708       31    475.7    4,910
GCA_003271945.1_ASM327194v1_genomic.fa                           FASTA   Protein     5,565  2,676,538       31      481    4,903
GCA_003271955.1_ASM327195v1_genomic.fa                           FASTA   Protein     5,777  2,746,966       31    475.5    4,903
GCA_003272045.1_ASM327204v1_genomic.fa                           FASTA   Protein     5,782  2,745,910       31    474.9    4,903
GCA_003272055.1_ASM327205v1_genomic.fa                           FASTA   Protein     5,728  2,741,429       31    478.6    4,910
