,pearson correlation coefficient,rxnName,subsystem,p_value
r_0941,0.32738819209422576,prolyl-tRNA synthetase,tRNA metabolism,3.6249377911064285e-21
r_1089,0.3263954829938892,valyl-tRNA synthetase,tRNA metabolism,4.839198765527469e-21
r_0476,0.32386244455677893,glutamine synthetase,"Alanine, aspartate and glutamate metabolism",1.0065587075782727e-20
r_0095,0.3189437458085048,acetaldehyde condensation,Butanoate metabolism,4.091776366416713e-20
r_0212,0.31869264972685557,Asparaginyl-tRNA synthetase,tRNA metabolism,4.3924146819040193e-20
r_0006,0.31829658276201256,"1,6-beta-glucan synthase",Starch and sucrose metabolism,4.9114873122197566e-20
r_1244,0.3182213280510252,phosphate transport,"Transport [c, e]",5.0167437098771997e-20
r_0109,0.31750010811153173,"acetyl-CoA carboxylase, reaction",Fatty acid biosynthesis,6.145322341680672e-20
r_0020,0.3163116474439982,2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,"Phenylalanine, tyrosine and tryptophan biosynthesis",8.575001702963368e-20
r_0669,0.3160043374517832,ketol-acid reductoisomerase (2-aceto-2-hydroxybutanoate),"Valine, leucine and isoleucine metabolism",9.344196061511956e-20
r_0220,0.31566344206491365,Aspartyl-tRNA synthetase,tRNA metabolism,1.0277231919332621e-19
r_0080,0.31563041603735875,"5,10-methylenetetrahydrofolate reductase (NADPH)",One carbon pool by folate,1.0372364914346892e-19
r_1127,0.31396790706785616,citrate transport,"Transport [c, m]",1.6469116354788846e-19
r_2433,0.3133881592485111,"CDP-diacylglycerol synthase (1-16:1, 2-16:1), ER membrane",Glycerophospholipid metabolism,1.9337150540015225e-19
r_0917,0.3102649528771113,phosphoserine phosphatase (L-serine),"Glycine, serine and threonine metabolism",4.56412720250734e-19
r_1042,0.3097006862856662,threonyl-tRNA synthetase,tRNA metabolism,5.324358171985027e-19
r_1223,0.30931710844968574,L-tyrosine transport,"Transport [c, e]",5.911103293090403e-19
r_0759,0.30778029123302875,N-acetyl-g-glutamyl-phosphate reductase,Arginine biosynthesis,8.972248345090256e-19
r_0115,0.30778029123302875,acetylglutamate kinase,Arginine biosynthesis,8.972248345090256e-19
r_0962,0.30688409777185716,pyruvate kinase,Glycolysis / gluconeogenesis,1.1431247797770468e-18
r_0250,0.3066369371081149,carbamoyl-phosphate synthase (glutamine-hydrolysing),Pyrimidine metabolism,1.2219143116130105e-18
r_1099,0.30347288277325146,2-oxoadipate and 2-oxoglutarate transport,"Transport [c, m]",2.8521977279876762e-18
r_0891,0.2982512386050882,phosphoglycerate dehydrogenase,"Glycine, serine and threonine metabolism",1.1295730079537825e-17
r_1088,0.29757739856343074,"valine transaminase, mitochondiral","Valine, leucine and isoleucine metabolism",1.3463751831851663e-17
r_0349,0.29672592441375173,dihydroorotase,Pyrimidine metabolism,1.6796976575968847e-17
r_2436,0.2948277434158521,"CDP-diacylglycerol synthase (1-16:0, 2-18:1), ER membrane",Glycerophospholipid metabolism,2.7430480145261075e-17
r_0820,0.2913862623310079,orotate phosphoribosyltransferase,Pyrimidine metabolism,6.612526975005821e-17
r_0739,0.29113548917859944,mevalonate pyrophoshate decarboxylase,Terpenoid backbone biosynthesis,7.047084617066476e-17
r_0096,0.28942120805419935,acetohydroxy acid isomeroreductase,"Valine, leucine and isoleucine metabolism",1.0870087947049171e-16
r_1172,0.28926581187276257,glycerol transport via channel,"Transport [c, e]",1.1303987819318535e-16
r_0097,0.28742179562655945,acetolactate synthase,"Valine, leucine and isoleucine metabolism",1.7953250933244194e-16
r_0309,0.28684160836354977,cystathionine beta-synthase,"Glycine, serine and threonine metabolism",2.075153847273016e-16
r_0560,0.28541184368458905,hydroxymethylglutaryl CoA synthase,Terpenoid backbone biosynthesis,2.9610769884160895e-16
r_0904,0.2840149425055566,phosphomevalonate kinase,Terpenoid backbone biosynthesis,4.18258604890909e-16
r_0352,0.28345110144650937,"dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)","Valine, leucine and isoleucine metabolism",4.805621108349562e-16
r_0818,0.281279777332891,ornithine transacetylase,Arginine biosynthesis,8.178982216997494e-16
r_3961,0.28124252438551145,"phosphate transport, mitochondrion-mitochondrial membrane","Transport [m, mm]",8.25360937253475e-16
r_0452,0.28113392581850366,"fumarase, cytoplasmic",Citrate cycle (TCA cycle),8.475002029528e-16
r_0118,0.2799026789639786,acteylornithine transaminase,Arginine biosynthesis,1.1431979361861292e-15
r_0821,0.2796288857578978,orotidine-5'-phosphate decarboxylase,Pyrimidine metabolism,1.2216227979757472e-15
r_0558,0.2785963448875508,hydroxymethylglutaryl CoA reductase,Terpenoid backbone biosynthesis,1.5679030718555761e-15
r_0546,0.27725849777885025,homoserine dehydrogenase (NADH),"Glycine, serine and threonine metabolism",2.1630670510978893e-15
r_1056,0.2750955121273769,tryptophan transaminase,"Phenylalanine, tyrosine and tryptophan biosynthesis",3.625762031631752e-15
r_4592,0.26174016698694913,Mg(2+) transport,"Transport [c, e]",7.957200812083082e-14
r_0678,0.25961258927852293,L-aminoadipate-semialdehyde dehydrogenase (NADPH),Lysine metabolism,1.281041047775352e-13
r_0173,0.25875431123890763,"aldehyde dehydrogenase (acetaldehyde, NADP)",Glycolysis / gluconeogenesis,1.5504512916023753e-13
r_0995,0.25519811082303057,seryl-tRNA synthetase,tRNA metabolism,3.3938256136879177e-13
r_0156,0.2543829696483484,alanine glyoxylate aminotransferase,"Alanine, aspartate and glutamate metabolism",4.054559925915519e-13
r_0487,0.2519757852156279,glycerol dehydrogenase (NADP-dependent),Glycerolipid metabolism,6.831146989020359e-13
r_1237,0.2506379272897121,ornithine transport,"Transport [c, m]",9.107126237499816e-13
r_1012,0.2499384803071212,squalene synthase,Steroid biosynthesis,1.0577515538497556e-12
r_1574,0.24723545777044575,2-isopropylmalate transport,"Transport [c, m]",1.878091990483433e-12
r_4590,0.2462708442699357,Mn(2+) transport,"Transport [c, e]",2.3013242161028657e-12
r_0548,0.24176421923198355,homoserine kinase,"Glycine, serine and threonine metabolism",5.879654937414261e-12
r_0112,0.241266838014167,acetyl-CoA synthetase,Pyruvate metabolism,6.5134584558763645e-12
r_0726,0.2398777015702146,methionine adenosyltransferase,Cysteine and methionine metabolism,8.658807946540019e-12
r_0478,0.23614825797537448,glutaminyl-tRNA synthetase,tRNA metabolism,1.843312241495482e-11
r_1118,0.23541478384940462,aspartate-glutamate transporter,"Transport [c, m]",2.1354162367478184e-11
r_0565,0.23337403785968483,IMP dehydrogenase,Purine metabolism,3.207022138313528e-11
r_2182,0.2330309794901773,"palmitoyl-CoA desaturase (n-C16:0CoA -> n-C16:1CoA), ER membrane",Biosynthesis of unsaturated fatty acids,3.432656564396286e-11
r_0039,0.23143229176833874,3-dehydroquinate dehydratase,"Phenylalanine, tyrosine and tryptophan biosynthesis",4.70567276581652e-11
r_0040,0.23143229176833874,3-dehydroquinate synthase,"Phenylalanine, tyrosine and tryptophan biosynthesis",4.70567276581652e-11
r_0997,0.23143229176833674,shikimate kinase,"Phenylalanine, tyrosine and tryptophan biosynthesis",4.705672765818677e-11
r_0996,0.23143229176833674,shikimate dehydrogenase,"Phenylalanine, tyrosine and tryptophan biosynthesis",4.705672765818677e-11
r_0065,0.23143229176833666,3-phosphoshikimate 1-carboxyvinyltransferase,"Phenylalanine, tyrosine and tryptophan biosynthesis",4.705672765818677e-11
r_1273,0.23134298663773672,urea transport,"Transport [c, e]",4.788996095187294e-11
r_0939,0.23106731812501283,prephenate dehydrogenase (NADP),"Phenylalanine, tyrosine and tryptophan biosynthesis",5.05539019262232e-11
r_0279,0.22893112761818127,chorismate synthase,"Phenylalanine, tyrosine and tryptophan biosynthesis",7.672246864543179e-11
r_2465,0.22804550808333474,"PS decarboxylase (1-16:1, 2-16:1), mitochondrial membrane",Glycerophospholipid metabolism,9.10970502906458e-11
r_0916,0.2275006488652056,phosphoribosylpyrophosphate synthetase,Pentose phosphate pathway,1.0121295605318946e-10
r_0144,0.22300806381332047,adenosylhomocysteinase,Cysteine and methionine metabolism,2.387161083717283e-10
r_0278,0.2203824670883943,chorismate mutase,"Phenylalanine, tyrosine and tryptophan biosynthesis",3.9086012516262626e-10
r_0463,0.2199489346871581,"glucan 1,4-alpha-glucosidase",Starch and sucrose metabolism,4.237619281330095e-10
r_0215,0.21969994271957244,aspartate kinase,"Glycine, serine and threonine metabolism",4.4386243335457077e-10
r_3223,0.21843948498015314,"PI 3,5-P2 phosphatase (1-18:1, 2-18:1), vacuolar membrane",Inositol phosphate metabolism,5.607441134552431e-10
r_0961,0.21748189584817385,pyruvate dehydrogenase,Glycolysis / gluconeogenesis,6.690787026938063e-10
r_0770,0.21601598633780286,"NADH dehydrogenase, cytosolic/mitochondrial",Oxidative phosphorylation,8.754372369942484e-10
r_4703,0.2133173422650583,3-mercaptopyruvate sulfurtransferase,Sulfur metabolism,1.428844234354633e-09
r_0771,0.2110513464141426,NADH kinase,Nicotinate and nicotinamide metabolism,2.1452334290488687e-09
r_0238,0.20891453904895133,C-4 methyl sterol oxidase,Steroid biosynthesis,3.134021318296479e-09
r_0241,0.20891453904895133,"C-4 sterol methyl oxidase (4,4-dimethylzymosterol)",Steroid biosynthesis,3.134021318296479e-09
r_0240,0.20891453904895133,C-4 methyl sterol oxidase,Steroid biosynthesis,3.134021318296479e-09
r_0239,0.20891453904895133,C-4 methyl sterol oxidase,Steroid biosynthesis,3.134021318296479e-09
r_2183,0.20739643466427754,"stearoyl-CoA desaturase (n-C18:0CoA -> n-C18:1CoA), ER membrane",Biosynthesis of unsaturated fatty acids,4.092640336578785e-09
r_2332,0.20676730052037004,"1-acyl-sn-glycerol-3-phosphate acyltransferase (1-16:0, 2-16:1), ER membrane",Glycerolipid metabolism,4.5685505824081325e-09
r_0104,0.20596728608862488,acetyl-CoA C-acetyltransferase,Fatty acid degradation,5.251847999207751e-09
r_1171,0.2051465743773333,glycerol transport,"Transport [c, e]",6.055630042748171e-09
r_0015,0.20432848766062556,"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)",Riboflavin metabolism,6.9751638468555214e-09
r_0441,0.2029852167181761,FMN reductase,Riboflavin metabolism,8.786445029152561e-09
r_0025,0.20297566225215846,2-isopropylmalate synthase,"Valine, leucine and isoleucine metabolism",8.800834924845714e-09
r_0355,0.19992337178654013,dimethylallyltranstransferase,Terpenoid backbone biosynthesis,1.4784087038420954e-08
r_0462,0.19992337178653952,geranyltranstransferase,Terpenoid backbone biosynthesis,1.4784087038421848e-08
r_0514,0.19577913990452886,GMP synthase,Purine metabolism,2.9515066195822306e-08
r_0982,0.19540109933888933,ribose-5-phosphate isomerase,Pentose phosphate pathway,3.141321001603848e-08
r_0317,0.19393853278831197,cytochrome P450 lanosterol 14-alpha-demethylase (NADP),Steroid biosynthesis,3.993302735512576e-08
r_1038,0.1902230489740323,thioredoxin reductase (NADPH),Glutathione metabolism,7.286262692898091e-08
r_0958,0.18877126610401904,pyruvate carboxylase,Pyruvate metabolism,9.186732785415498e-08
r_0354,0.1874119585446328,dihydroxyacetone kinase,Glycerolipid metabolism,1.139456991318376e-07
r_4332,0.18509633136920856,Protein PNS1 (pH nine-sensitive protein 1),"Transport [c, e]",1.6385837840231768e-07
r_0479,0.18358382962739195,glutamyl-tRNA synthetase,tRNA metabolism,2.0723001564195456e-07
r_0888,0.18205558912322303,phosphoglucomutase,Pentose phosphate pathway,2.6220648448413727e-07
r_0884,0.18202720455325613,phosphoenolpyruvate carboxykinase,Glycolysis / gluconeogenesis,2.6335001150934275e-07
r_2541,0.18171317450502789,"phosphatidylglycerolphosphate synthase (1-16:1, 2-18:1), mitochondrial membrane",Glycerophospholipid metabolism,2.763264783415142e-07
r_3227,0.18153780002040643,"DGPP phosphatase (1-18:1, 2-16:1), vacuolar membrane",Glycerolipid metabolism,2.8383935118643095e-07
r_0957,0.18139261224081704,pyrroline-5-carboxylate reductase,Arginine and proline metabolism,2.902076634368364e-07
r_0662,0.18022359059205378,isocitrate lyase,Glyoxylate and dicarboxylate metabolism,3.467501253267907e-07
r_1041,0.17732419739018074,threonine synthase,"Glycine, serine and threonine metabolism",5.365341219914976e-07
r_1249,0.1758047357265926,potassium transport,"Transport [c, e]",6.725503555831391e-07
r_0061,0.17225182317437715,3-isopropylmalate dehydrogenase,"Valine, leucine and isoleucine metabolism",1.1321361121488502e-06
r_0211,0.16812090987652922,asparagine synthase (glutamine-hydrolysing),"Alanine, aspartate and glutamate metabolism",2.047029608300887e-06
r_2883,0.1668484561325047,"PI 3-P 5-kinase (1-18:1, 2-18:1), vacuolar membrane",Inositol phosphate metabolism,2.449733990952555e-06
r_4335,0.16552732840429651,Endopolyphosphatase (EC 3.6.1.10) (Deoxyadenosine triphosphate phosphohydrolase) (dATP phosphohydrolase) (EC 3.6.1.-) (Exopolyphosphatase) (EC 3.6.1.11) (Phosphate metabolism protein 5),Purine metabolism,2.9476892693491556e-06
r_0219,0.16402303158779122,aspartate-semialdehyde dehydrogenase,"Glycine, serine and threonine metabolism",3.6326571614203535e-06
r_0722,0.162450688187896,mannose-1-phosphate guanylyltransferase,Fructose and mannose metabolism,4.510308826987206e-06
r_2432,0.16212618727194447,"CDP-diacylglycerol synthase (1-16:0, 2-16:1), ER membrane",Glycerophospholipid metabolism,4.715115492815996e-06
r_3111,0.16175378888423664,"PC phospholipase D (1-18:1, 2-18:1), cell envelope",Glycerophospholipid metabolism,4.961108943764912e-06
r_0058,0.15738245971992082,"3-hydroxyanthranilate 3,4-dioxygenase",Tryptophan metabolism,8.936020068884479e-06
r_0142,0.15670494388797862,adenosine kinase,Purine metabolism,9.775678065995893e-06
r_1011,0.15401258120809436,squalene epoxidase (NADP),Steroid biosynthesis,1.3916603705064926e-05
r_0194,0.1540030372703545,"alpha,alpha-trehalase",Starch and sucrose metabolism,1.393389169791732e-05
r_4235,0.1527616107722434,None,None,1.636556610677428e-05
r_0153,0.1499616967937067,adenylosuccinate synthase,Purine metabolism,2.3415210773615543e-05
r_0234,0.14987845630106475,C-3 sterol dehydrogenase,Steroid biosynthesis,2.36636021740924e-05
r_0235,0.14987845630105534,C-3 sterol dehydrogenase (4-methylzymosterol),Steroid biosynthesis,2.3663602174121992e-05
r_0029,0.14960938641836746,2-oxo-4-methyl-3-carboxypentanoate decarboxylation,"Valine, leucine and isoleucine metabolism",2.4483742079718918e-05
r_3231,0.1492612106434894,"DGPP phosphatase (1-18:1, 2-18:1), vacuolar membrane",Glycerolipid metabolism,2.558511093292201e-05
r_2335,0.148560587838098,"1-acyl-sn-glycerol-3-phosphate acyltransferase (1-16:1, 2-18:1), ER membrane",Glycerolipid metabolism,2.794550331265474e-05
